Class ID,Class Name,Pidgin Explanation,Pidgin Solution
0,Apple Scab,"Apple Scab na one common disease wey dey affect apple tree. E dey cause dark-dark spot for leaf and fruit, make di apple no fine and sometimes make dem fall before time. Na one kind fungus wey dey cause am.","    Clear all the sick leaves and fruit from ground and tree.
    Use fungicide spray wey dem recommend, especially during early spring.
    Make sure say air dey pass well between di branches, so prune di tree small-small.
    No plant apple tree near each other too much."
1,Apple with Black Rot,"Black Rot na serious disease wey dey affect apple tree. E dey make di apple fruit turn brown or black, later e go rot finish. Sometimes e go start from small wound or cut for the apple. Na one kind fungus dey cause am.","    Remove and burn all the affected apples and leaves.
    Prune di tree well to allow breeze enter.
    Spray fungicide before and after flowering season.
    No allow wound dey your apple fruit – handle dem gently."
2,Cedar Apple Rust,"Dis na one kind fungal disease wey dey affect apple and cedar trees. E dey show like yellow or orange spot for leaf and fruit. If e serious, e fit make leaf fall early and reduce wetin the tree go produce.","Cut and burn any leaf or branch wey don get the rust.
No plant cedar and apple tree near each other.
Use fungicide wey go kill the disease, especially for early season.
Always clean up fallen leaves and dirt wey fit carry the disease."
3,Healthy Apple,"Dis apple tree no get any disease. E leaf fresh, e fruit dey grow well, and everything dey normal. Dis na wetin every farmer dey pray for.","Water am well but no too soak am.
Clear weed wey dey around the root.
Spray small pesticide once once to prevent insect.
Prune am small-small make air and sun fit enter well.
Check am every week make you catch any wahala early."
4,Healthy Blueberry Plant,"Dis blueberry plant dey kampe. E leaf dey green, e no get any sign of sick, and e dey bear better fruit. Everything dey okay for di plant body.","Make sure say soil no too soak water; blueberry no like too much water.
Put mulch around di root to keep soil cool and stop weed.
Prune am once once make fresh air pass and disease no hide.
Give am sun well-well, blueberry like sun.
Always check for insect or sign of sick every few days."
5,Cherry with Powdery Mildew,"Dis cherry tree don catch one kind disease wey dey make white-white powder show for leaf and stem. Di leaf fit curl or dry, and e fit slow di plant growth or stop am from bearing sweet cherry.","Spray fungicide wey fit fight powdery mildew sharp-sharp.
Cut and throway any leaf or branch wey don get di powder.
No water di leaf directly—water di root make e no spread.
Space your cherry tree well so air fit pass inside.
If possible, plant variety wey no dey easily catch dis disease."
6,Healthy Cherry Plant,"Dis cherry plant dey kampe, e no get any sign of disease or wahala. Di leaf dey green, di stem dey strong, and everything dey grow well well.","    Continue to water am regularly, but no too soak di soil.
    Put manure or compost to make am grow strong.
    Make sure say e dey for place wey sun dey shine well.
    Check am from time to time to make sure no pest or disease don show.
    Prune am small-small so e go grow fine and bear better cherry."
7,Corn (Maize) with Cercospora and Gray Leaf Spot,"Dis na one kind disease wey dey affect corn leaf. You go see small-small gray or brown spots wey dey spread for di leaf, and di leaf fit begin dry from bottom go up. Na fungus dey cause am, and if you no control am quick, e fit reduce your harvest well well.","No plant corn for di same place every year – rotate your crops.
Use corn wey strong against disease (resistant variety).
Remove and burn any corn leaf or plant wey don get di disease.
If e bad well, you fit spray fungicide (ask agro expert for di right one).
No water di corn from top – try water only di ground."
8,Corn (Maize) with Common Rust,Dis na one disease wey dey show like reddish or brown powdery spots for corn leaf. Na fungus dey cause am. E dey spread fast if breeze blow or if di weather dey wet and warm. Di rust go make di plant weak and reduce how many corn you go harvest.,"Plant corn wey sabi resist rust.
Rotate your farm crops – no dey plant corn for di same place every time.
Remove any corn plant wey don get di rust early.
If di thing serious, spray correct fungicide wey go kill di fungus (ask agro person for help).
Keep your farm clean, no leave old plant waste for ground."
9,Corn (Maize) with Northern Leaf Blight,"Dis disease dey show for corn leaf as long, grey or brown patches wey resemble canoe shape. Na fungus cause am, and e dey make di corn plant weak so e no go produce better corn. Di disease dey spread quick for places wey get plenty rain or breeze.","Plant corn wey no dey quick catch disease (disease-resistant variety).
Clear your farm well – no leave old corn leaves or stems for ground.
Rotate wetin you dey plant – no plant corn for di same land every year.
If e too plenty, spray fungicide wey fit stop di fungus.
Plant corn early before di rain plenty well well."
